,index,V,TO,stateVotesId,candidate,party,office,district,electionID,electionDescription,electionDate
891,9988,783,8.90%,3327,Mark R Adiletta,,Non Partisan Representative Town Meeting District V,0,31,November 2018 State Election,11/06/2018
892,9989,878,9.98%,3327,David F Bayne,,Non Partisan Representative Town Meeting District V,0,31,November 2018 State Election,11/06/2018
893,9990,860,9.78%,3327,John V Boulton,,Non Partisan Representative Town Meeting District V,0,31,November 2018 State Election,11/06/2018
894,9991,946,10.76%,3327,Janet F Grogan,,Non Partisan Representative Town Meeting District V,0,31,November 2018 State Election,11/06/2018
895,9992,729,8.29%,3327,Frederick R Hebert,,Non Partisan Representative Town Meeting District V,0,31,November 2018 State Election,11/06/2018
896,9993,969,11.02%,3327,Joanne K Hennessy,,Non Partisan Representative Town Meeting District V,0,31,November 2018 State Election,11/06/2018
897,9994,959,10.90%,3327,Lindsay Kelly,,Non Partisan Representative Town Meeting District V,0,31,November 2018 State Election,11/06/2018
898,9995,819,9.31%,3327,David R Martin,,Non Partisan Representative Town Meeting District V,0,31,November 2018 State Election,11/06/2018
899,9996,916,10.42%,3327,Laura R. Mosher,,Non Partisan Representative Town Meeting District V,0,31,November 2018 State Election,11/06/2018
900,9997,936,10.64%,3327,Sheila B Sherwood,,Non Partisan Representative Town Meeting District V,0,31,November 2018 State Election,11/06/2018
